HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 0:02:04
Notes: 

[Location Information]

[Driver Information]

[Vehicle Information]
VIN: 1FTLR4FEXBPA98994

[Channel Information]
0,5,7,9,11,13,15,17,31,34,44,46,60,62,69,75,77,85,87,89,65280,65280,65281
Offset,Engine coolant temperature,Long term fuel trim - Bank 1,Long term fuel trim - Bank 2,Intake manifold pressure,Vehicle speed,Intake air temperature,Throttle position,Run time since engine start,Fuel rail pressure (relative),Commanded EGR,Commanded evap purge,Catalyst temp B1S1,Catalyst temp B1S2,Relative throttle position,Throttle actuator cmd,Time since codes cleared,ST O2 trim B1B3,ST O2 trim B2B4,Fuel rail pressure (abs),Unknown,Lateral G,Longitudinal G
s,°C,%,%,kPa,km/h,°C,%,s,kPa,%,%,°C,°C,%,%,min,%,%,kPa,?,G,G

[Channel Data]
0.100,95,,,,,,,,,,,,,,,,,,,,-0.145,0.295
0.206,95,25,50,,,,,,,,,,,,,,,,,,-0.141,0.308
0.313,95,25,50,32,,,,,,,,,,,,,,,,,-0.136,0.308
0.420,95,25,50,32,,,,,,,,,,,,,,,,,-0.138,0.327
0.528,95,25,50,32,,,,,,,,,,,,,,,,,-0.137,0.324
0.636,95,25,50,32,,,,,,,,,,,,,,,,,-0.147,0.312
0.744,95,25,50,32,,,,,,,,,,,,,,,,,-0.138,0.312
0.852,95,25,50,32,,,,,,,,,,,,,,,,,-0.144,0.305
0.960,95,25,50,32,,,,,,,,,,,,,,,,,-0.145,0.312
1.067,95,25,50,32,102,,,,,,,,,,,,,,,,-0.144,0.304
1.175,95,25,50,32,102,,,,,,,,,,,,,,,,-0.159,0.319
1.284,95,25,50,32,102,,,,,,,,,,,,,,,,-0.152,0.314
1.393,95,25,50,32,102,,,,,,,,,,,,,,,,-0.140,0.321
1.501,95,25,50,32,102,,,,,,,,,,,,,,,,-0.151,0.312
1.610,95,25,50,32,102,,,,,,,,,,,,,,,,-0.149,0.313
1.720,95,25,50,32,102,,,,,,,,,,,,,,,,-0.150,0.318
1.820,95,25,50,32,102,,,,,,,,,,,,,,,,-0.147,0.300
1.929,95,25,50,32,102,,,,,,,,,,,,,,,,-0.149,0.324
2.038,95,25,50,32,102,,,,,,,,,,,,,,,,-0.143,0.323
2.147,95,25,50,32,102,,,,,,,,,,,,,,,,-0.147,0.324
2.256,95,25,50,32,102,,,,,,,,,,,,,,,,-0.149,0.328
2.365,95,25,50,32,102,,,,,,,,,,,,,,,,-0.149,0.314
2.474,95,25,50,32,102,,,,,,,,,,,,,,,,-0.139,0.319
2.582,95,25,50,32,102,,,,,,,,,,,,,,,,-0.144,0.306
2.691,95,25,50,32,102,,,,,,,,,,,,,,,,-0.148,0.320
2.791,95,25,50,32,102,,,,,,,,,,,,,,,,-0.141,0.309
2.900,95,25,50,32,102,,,,,,,,,,,,,,,,-0.140,0.317
3.009,95,25,50,32,102,,,,,,,,,,,,,,,,-0.140,0.314
3.118,95,25,50,32,102,,,,,,,,,,,,,,,,-0.141,0.299
3.227,95,25,50,32,102,,,,,,,,,,,,,,,,-0.146,0.305
3.335,95,25,50,32,102,,,,,,,,,,,,,,,,-0.139,0.307
3.444,95,25,50,32,102,,,,,,,,,,,,,,,,-0.135,0.322
3.544,95,25,50,32,102,,,,,,,,,,,,,,,,-0.132,0.298
3.644,95,25,50,32,102,,,,,,,,,,,,,,,,-0.150,0.323
3.744,95,25,50,32,102,,,,,,,,,,,,,,,,-0.145,0.316
3.853,95,25,50,32,102,,,,,,,,,,,,,,,,-0.147,0.317
